gene	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	fraction_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_v0.6_SVs_in_gene	num_MRG_SV_v0.1_in_gene	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	mandelker	cosmic	high_priority	num_v4.2.1_variants_in_exons	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	num_MRG_small_variant_v0.03_variants_in_gene	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
PLD2	14717	0.90078345	56338	1	17	4710391	4726729	4690391	4746729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0.01162933	0	0	0	27	3478	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNE	5196	0.980377358	45300	1	17	4801069	4806369	4781069	4826369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2339	0.95742939	0	0	yes	no	no	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP1BA	2120	0.775704354	42733	1	17	4835592	4838325	4815592	4858325	2395	0.876326381	0	0	0	0	613	0.224295646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1886	0.754701881	2161	0.864745898	yes	no	yes	2	0	2	2	2395	0.876326381	1	2161	0.864745898	2	1	613	0.224295646	613	0.2242956	0
PFN1	3177	0.931944852	43409	1	17	4848947	4852356	4828947	4872356	969	0.28424758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.012907011	0	0	0	5	1175	0.912267081	751	0.583074534	yes	no	no	0	0	0	0	969	0.28424758	0	751	0.583074534	0	0	0	0	0	0	0
ENO3	8053	0.890917137	49039	1	17	4851387	4860426	4831387	4880426	8443	0.934063503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0.006748534	0	0	8	4	1579	1	1579	1	yes	no	no	1	0	1	8	8443	0.934063503	0	1579	1	1	0	0	0	0	0	0
SLC52A1	18375	0.946725746	59409	1	17	4935895	4955304	4915895	4975304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0.0256582	0	0	0	25	2412	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USP6	56504	0.964297904	98596	1	17	5019733	5078329	4999733	5098329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55580	0.94852891	55624	0.949279814	0	0	0	36	9772	0.993897478	0	0	no	yes	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABEP1	99736	0.962972261	143571	1	17	5185558	5289129	5165558	5309129	0	0	0	0	0	0	634	0.006121405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1483	0.01431868	0	0	0	201	5249	0.970958195	0	0	no	yes	no	21	0	0	0	0	0	0	0	0	0	0	634	0.006121405	634	0.0061214	0
NLRP1	117742	0.981207864	159997	1	17	5402747	5522744	5382747	5542744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4710	0.039250981	1	0	0	177	6636	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIPL1	40719	0.981038886	80992	0.993693716	17	6297013	6338519	6277013	6358519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	0.015419457	0	0	0	40	3393	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PITPNM3	102211	0.971310463	144716	0.996460786	17	6354584	6459814	6334584	6479814	0	0	0	0	0	0	1263	0.012002281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	814	0.007735437	1	0	0	83	6532	0.924296024	0	0	yes	no	no	8	0	0	0	0	0	0	0	0	0	0	1263	0.012002281	1263	0.0120023	1
ALOX12	13901	0.947515507	54671	1	17	6899384	6914055	6879384	6934055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0.003067276	0	0	0	38	2322	0.990614334	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLG4	28755	0.964544479	69812	1	17	7093209	7123021	7073209	7143021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0.00758084	0	0	0	23	4079	0.975370636	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	7664	0.94059892	48148	1	17	7120444	7128592	7100444	7148592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2420	0.986547085	0	0	yes	no	yes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DVL2	9072	0.985658409	49204	1	17	7128660	7137864	7108660	7157864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0.004997827	0	0	0	8	3003	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A4	6371	0.96676783	46590	1	17	7184986	7191576	7164986	7211576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4.55E-04	0	0	0	6	3274	0.958711567	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBX2	6051	0.950966525	46363	1	17	7191571	7197934	7171571	7217934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1376	0.870335231	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLGN2	14667	0.978713466	54986	1	17	7308193	7323179	7288193	7343179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5325	0.96084446	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB1	12162	0.961727028	52646	1	17	7348380	7361026	7328380	7381026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0.038272972	0	0	0	5	2546	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPDU1	9037	0.975917927	49260	1	17	7486847	7496107	7466847	7516107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0.007019438	0	0	0	7	1594	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHBG	17867	0.924888705	59318	1	17	7517382	7536700	7497382	7556700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	484	0.025054353	1	0	0	21	1269	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53	24838	0.964245506	65759	1	17	7565097	7590856	7545097	7610856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0.012112271	0	0	0	20	2700	1	0	0	yes	yes	yes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRAP53	16911	0.970168091	57431	1	17	7589389	7606820	7569389	7626820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0.01336699	0	0	0	2	4154	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHD3	27749	0.992666524	67954	1	17	7788124	7816078	7768124	7836078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0.006331831	0	0	0	20	7625	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GUCY2D	17529	0.987827557	57745	1	17	7905912	7923657	7885912	7943657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0.005071851	0	0	0	24	3654	0.993474715	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOX12B	15067	1	55067	1	17	7975954	7991021	7955954	8011021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0.008827238	0	0	0	18	2487	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOXE3	0	0	63147	1	17	7999218	8022365	7979218	8042365	22072	0.953557696	0	0	0	0	23147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0.015077548	0	0	20	0	0	0	3538	1	yes	no	no	0	0	1	20	22072	0.953557696	0	3538	1	1	0	23147	1	23147	1	0
HES7	2027	0.578812107	43502	1	17	8023908	8027410	8003908	8047410	3502	1	0	0	0	0	1475	0.421187893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	223	0.133532934	1670	1	yes	no	no	0	0	2	3	3502	1	0	1670	1	2	0	1475	0.421187893	1475	0.4211879	0
PER1	15670	0.977298241	56034	1	17	8043790	8059824	8023790	8079824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0.008357241	0	0	0	13	4678	0.998719044	0	0	yes	yes	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTC1	20487	0.967691654	61171	1	17	8130191	8151362	8110191	8171362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0.013745218	0	0	0	10	4001	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RANGRF	1595	1	41595	1	17	8191815	8193410	8171815	8213410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1318	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL26	5693	1	45693	1	17	8280838	8286531	8260838	8306531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0.039697875	0	0	0	9	939	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R5	83467	0.961645698	126796	1	17	8782233	8869029	8762233	8889029	0	0	0	0	0	0	2364	0.027236278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0.006417346	1	0	0	116	4291	0.948916409	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	2364	0.027236278	2364	0.0272363	0
GAS7	278230	0.966270985	327942	1	17	9813926	10101868	9793926	10121868	0	0	0	0	0	0	1388	0.004820415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5692	0.01976787	1	0	0	508	9097	1	0	0	no	yes	no	15	0	0	0	0	0	0	0	0	0	0	1388	0.004820415	1388	0.0048204	0
MYH2	28485	0.988753515	68809	1	17	10424465	10453274	10404465	10473274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1795	0.062306918	0	0	0	7	6363	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH3	27884	0.968766286	68783	1	17	10531843	10560626	10511843	10580626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0.01730188	0	0	0	80	5990	0.99849975	0	0	yes	no	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCO1	17731	0.982980375	58038	1	17	10583654	10601692	10563654	10621692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0.012085597	0	0	0	22	1743	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH9	359945	0.969373877	411317	1	17	11501748	11873065	11481748	11893065	0	0	0	0	0	0	2635	0.007096362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11910	0.032075019	1	0	0	470	13879	0.99483908	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	2635	0.007096362	2635	0.0070964	0
MAP2K4	121194	0.985269011	163006	1	17	11924141	12047147	11904141	12067147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2589	0.021047754	3325	0.027031202	0	0	0	103	3854	1	0	0	yes	yes	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOCD	100514	0.975305408	143059	1	17	12569207	12672266	12549207	12692266	0	0	0	0	0	0	510	0.004948622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	0.009421788	0	0	0	99	8340	0.986748699	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	510	0.004948622	510	0.0049486	0
ELAC2	25416	0.985269034	65796	1	17	12895708	12921504	12875708	12941504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	3124	1	0	0	yes	no	yes	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	136863	0.983345428	179181	1	17	13972813	14111994	13952813	14131994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23886	0.171618252	24100	0.173155819	0	0	0	185	2866	1	0	0	yes	no	yes	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMP22	35042	0.985765725	75548	1	17	15133095	15168643	15113095	15188643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	0.010464724	0	0	0	24	1965	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC19	44383	0.972564917	85635	1	17	15902694	15948329	15882694	15968329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0.003155473	0	0	0	4	2861	0.956216578	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCOR1	177215	0.937506613	229028	1	17	15932471	16121499	15912471	16141499	0	0	0	0	0	0	1453	0.007686692	0	0	0	0	0	0	0	0	0	0	0	0	26701	0.141254206	29186	0.154400406	1	0	0	9	11021	1	0	0	no	yes	no	2	0	0	0	0	0	0	0	0	0	0	1453	0.007686692	1453	0.0076867	0
PIGL	121709	0.924770154	176419	1	17	16120505	16252115	16095696	16272115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813	0.036570169	7316	0.055588481	1	0	0	56	1130	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	41583	0.97651645	82583	1	17	16832849	16875432	16812849	16895432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	634	0.014888571	0	0	0	108	1043	0.771449704	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLCN	23628	0.946028187	64976	1	17	17115526	17140502	17095526	17160502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0.003563421	0	0	0	39	3888	0.97443609	0	0	yes	yes	yes	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAI1	126673	0.974557624	169980	1	17	17584787	17714767	17564787	17734767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0.004754578	0	0	0	110	7656	1	0	0	yes	no	yes	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SREBF1	25456	0.95656095	66612	1	17	17713713	17740325	17693713	17760325	0	0	0	0	0	0	622	0.023372914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0.008266947	1	0	0	33	4102	0.965630885	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	622	0.023372914	622	0.0233729	0
ATPAF2	44597	0.721634304	101800	1	17	17880723	17942523	17860723	17962523	60678	0.98184466	0	0	0	0	14918	0.241391586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0.009174757	1	1	5	3	873	0.561053985	1556	1	yes	no	no	0	0	0	4	60625	0.980987055	1	1556	1	0	0	14918	0.241391586	14918	0.2413916	0
MYO15A	69486	0.977354563	111096	1	17	18012020	18083116	17992020	18103116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0.002897491	0	0	0	65	11763	0.997117911	0	0	yes	no	yes	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LLGL1	18911	0.980454168	59288	1	17	18128901	18148189	18108901	18168189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0.005910411	0	0	0	24	4091	0.965541657	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHMT1	32494	0.910987132	76413	1	17	18231187	18266856	18211187	18287600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1482	0.041548684	3291	0.092264992	0	0	0	38	2460	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B9D1	40092	0.986807128	80628	1	17	19240867	19281495	19220867	19301495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0.007704046	0	0	0	61	1418	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MFAP4	3696	0.97314376	43798	1	17	19286755	19290553	19266755	19310553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1976	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC47A1	78768	0.941649033	123649	1	17	19398698	19482347	19378698	19502347	0	0	0	0	0	0	1160	0.01386747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2296	0.027448027	1	0	0	85	3263	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	1160	0.01386747	1160	0.0138675	0
ALDH3A2	29435	0.999083565	69462	1	17	19551449	19580911	19531449	19600911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0.015375738	1	0	0	30	4047	1	0	0	yes	no	yes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC47A2	39939	0.981519255	80691	1	17	19581601	19622292	19561601	19642292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0.009830184	0	0	0	47	2406	1	0	0	yes	no	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP10	70413	0.951000122	117269	1	17	19807615	19881656	19787615	19904884	0	0	0	0	0	0	414	0.005591497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	0.024540457	1	0	0	103	4057	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	414	0.005591497	414	0.0055915	0
SPECC1	302309	0.976191706	571565	1	17	19912657	20222339	19892657	20464222	0	0	0	0	0	0	946	0.003054746	0	0	0	0	0	0	0	0	0	0	0	0	16295	0.052618493	19104	0.061689088	2	0	0	491	10532	0.949770042	0	0	yes	yes	no	17	0	0	0	0	0	0	0	0	0	0	946	0.003054746	946	0.0030547	0
MAP2K3	7792	0.254907092	39797	0.5639525	17	21187984	21218552	21167984	21238552	0	0	0	0	0	0	476	0.01557184	552	0.0180581	4552	0.148913897	4505	0.147376341	0	0	0	0	0	0	0	0	36	0.001177702	0	0	0	14	427	0.172874494	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	5028	0.164485737	5028	0.1644857	0
NOS2	43252	0.989001441	88477	1	17	26083792	26127525	26059048	26147525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15169	0.346854778	15169	0.346854778	0	0	0	63	4149	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC46A1	12554	1	52554	1	17	26721661	26734215	26701661	26754215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC13A2	24129	0.985339758	61384	0.951867014	17	26800311	26824799	26780311	26844799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0.011597517	0	0	0	17	2846	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXN1	27787	0.850978471	72653	1	17	26833261	26865914	26813261	26885914	29511	0.90377607	0	0	0	0	4748	0.145407773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1124	0.034422565	3	0	40	37	3611	1	3611	1	yes	no	no	3	0	3	40	29511	0.90377607	0	3611	1	3	0	4748	0.145407773	4748	0.1454078	0
UNC119	5940	0.996477101	45961	1	17	26873725	26879686	26853725	26899686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1687	1	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA0100	30656	0.988456826	71014	1	17	26941458	26972472	26921458	26992472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6.45E-05	0	0	0	8	7368	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK8	16825	0.958252648	57558	1	17	27052915	27070473	27032915	27090473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0.068344914	0	0	0	6	3431	0.962142457	0	0	yes	no	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEZ6	50546	0.980733037	91539	1	17	27281919	27333458	27261919	27353458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0.005704418	0	0	0	30	4314	0.96769852	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBA1	7631	1	47631	1	17	27573881	27581512	27553881	27601512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0.013497576	0	0	0	3	777	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GIT1	20357	0.988923974	60585	1	17	27900487	27921072	27880487	27941072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	0.053436969	1103	0.053582706	0	0	0	17	3672	0.972972973	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB5	167696	0.9355321	219252	1	17	28256218	28435470	28236218	28455470	0	0	0	0	0	0	307	0.001712673	0	0	8000	0.044629907	0	0	0	0	0	0	0	0	0	0	8431	0.047034343	1	0	0	143	5238	0.971078977	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	8307	0.046342579	8307	0.0463426	0
SLC6A4	40579	0.973514382	81683	1	17	28521337	28563020	28501337	28583020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0.003790514	0	0	0	46	6625	1	0	0	yes	no	yes	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BLMH	43517	0.992270157	83856	1	17	28575218	28619074	28555218	28639074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0.003169464	0	0	0	29	2348	1	0	0	yes	no	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF135	28521	0.91630791	84927	1	17	29295803	29326929	29275803	29360730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2708	0.087001221	0	0	0	6	2951	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NF1	259167	0.902426625	327189	1	17	29421945	29709134	29401945	29729134	0	0	0	0	0	0	1137	0.003959065	14829	0.051634986	4000	0.01392811	0	0	0	0	0	0	0	0	62453	0.217463064	66610	0.231937853	1	0	0	240	10165	0.769959097	0	0	yes	yes	yes	2	0	0	0	0	0	0	0	0	0	0	19137	0.066635561	19137	0.0666356	0
OMG	25067	0.982018334	65526	1	17	29599031	29624557	29579031	29644557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	0.015435242	0	0	0	13	1945	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUZ12	50677	0.791494213	187781	1	17	30264037	30328064	30244037	30431818	63070	0.985053181	0	0	0	0	0	0	8000	0.124947288	0	0	0	0	0	0	0	0	0	0	49819	0.778093617	49930	0.77982726	0	0	22	16	4273	0.954860335	4475	1	yes	yes	no	0	0	0	22	63039	0.98456901	0	4475	1	0	0	8000	0.124947288	8000	0.1249473	0
CDK5R1	4637	1	44637	1	17	30813637	30818274	30793637	30838274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4323	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL2	1918	1	41918	1	17	32582304	32584222	32562304	32604222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	738	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL11	2666	1	42666	1	17	32612687	32615353	32592687	32635353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1076	1	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIG3	23880	0.971916972	64570	1	17	33307513	33332083	33287513	33352083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0.004558405	0	0	0	16	3878	1	0	0	yes	no	no	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
